Achromobacter_insuavis	GCF_000219745.1_ASM21974v1_genomic
Acinetobacter_lactucae	GCF_002076935.1_ASM207693v1_genomic
Acinetobacter_larvae	GCF_001704115.1_ASM170411v1_genomic
Acinetobacter_lwoffii	GCF_000219275.1_ASM21927v1_genomic
Acinetobacter_marinus	GCF_900096915.1_IMG-taxon_2671180220_annotated_assembly_genomic
Acinetobacter_nectaris	GCF_000488215.1_Acin_nect_CIP110549_V2_genomic
Acinetobacter_nosocomialis	GCF_000368085.1_Acin_noso_NIPH_2119_V1_genomic
Acinetobacter_oleivorans	GCF_000196795.1_ASM19679v1_genomic
Acinetobacter_parvus	GCF_000368025.1_Acin_parv_CIP108168_V1_genomic
Acinetobacter_pittii	GCF_000191145.1_ASM19114v1_genomic
Acinetobacter_populi	GCF_002174125.1_ASM217412v1_genomic
Acinetobacter_proteolyticus	GCF_001753605.1_ASM175360v1_genomic
Acinetobacter_qingfengensis	GCF_001753595.1_ASM175359v1_genomic
Acinetobacter_radioresistens	GCF_000368885.1_Acin_radi_NIPH_2130_V1_genomic
Acinetobacter_rudis	GCF_000413895.1_Acin_rudi_CIP_110305_V1_genomic
Acinetobacter_schindleri	GCF_001971565.1_ASM197156v1_genomic
Acinetobacter_tjernbergiae	GCF_000374425.1_ASM37442v1_genomic
Acinetobacter_towneri	GCF_000368785.1_Acin_town_CIP_107472_V1_genomic
Acinetobacter_ursingii	GCF_000368845.1_Acin_ursi_NIPH_ANC_3649_V1_genomic
Acinetobacter_venetianus	GCF_000308235.1_ASM30823v2_genomic
Actinobacillus_capsulatus	GCF_000374285.1_ASM37428v1_genomic
Actinobacillus_equuli	GCF_000801145.1_ASM80114v1_genomic
Actinobacillus_minor	GCF_000174155.1_ASM17415v1_genomic
Actinobacillus_seminis	GCF_002263215.1_ASM226321v1_genomic
Actinobacillus_succinogenes	GCF_000017245.1_ASM1724v1_genomic
Actinobacillus_suis	GCF_000739435.1_ASM73943v1_genomic
Actinobacillus_ureae	GCF_000188255.1_ASM18825v1_genomic
Actinomyces_cardiffensis	GCF_000364865.1_ASM36486v1_genomic
Actinomyces_coleocanis	GCF_000159015.1_ASM15901v1_genomic
Actinomyces_dentalis	GCF_000429225.1_ASM42922v1_genomic
Actinomyces_denticolens	GCF_001995055.1_ASM199505v1_genomic
Actinomyces_europaeus	GCF_000411155.1_Acti_euro_ACS-120-V-COL10B_V1_genomic
Actinomyces_gaoshouyii	GCF_002076915.1_ASM207691v1_genomic
Actinomyces_georgiae	GCF_000429245.1_ASM42924v1_genomic
Actinomyces_gerencseriae	GCF_000429265.1_ASM42926v1_genomic
Actinomyces_glycerinitolerans	GCF_900098745.1_Acetnomyces_glycerinotoleransG10_genomic
Actinomyces_graevenitzii	GCF_000239695.1_Acti_grae_C83_V1_genomic
Actinomyces_hongkongensis	GCF_001746855.1_ASM174685v1_genomic
Actinomyces_liubingyangii	GCF_001907245.1_ASM190724v1_genomic
Actinomyces_marimammalium	GCF_001936115.1_ASM193611v1_genomic
Actinomyces_massiliensis	GCF_000269805.1_ASM26980v1_genomic
Actinomyces_meyeri	GCF_001262055.1_ASM126205v1_genomic
Actinomyces_naeslundii	GCA_002355915.1_ASM235591v1_genomic
Actinomyces_nasicola	GCF_900107735.1_IMG-taxon_2593339153_annotated_assembly_genomic
Actinomyces_neuii	GCF_000296485.1_Acti_neui_BVS029A5_V1_genomic
Actinomyces_odontolyticus	GCF_000154225.1_ASM15422v1_genomic
Actinomyces_oris	GCF_001553935.1_ASM155393v1_genomic
Actinomyces_polynesiensis	GCF_000820725.1_Actinomyces_polynesiensis_genomic
Actinomyces_provencensis	GCF_900155435.1_PRJEB18758_genomic
Actinomyces_radicidentis	GCF_001553565.1_ASM155356v1_genomic
Actinomyces_radingae	GCF_900106055.1_IMG-taxon_2630968294_annotated_assembly_genomic
Actinomyces_ruminicola	GCF_900103565.1_IMG-taxon_2608642100_annotated_assembly_genomic
Actinomyces_slackii	GCF_000428685.1_ASM42868v1_genomic
Actinomyces_succiniciruminis	GCA_900002405.1_AAM4_genomic
Actinomyces_suimastitidis	GCF_000429105.1_ASM42910v1_genomic
Actinomyces_timonensis	GCF_000295095.1_ASM29509v1_genomic
Actinomyces_turicensis	GCF_000296505.1_Acti_turi_ACS-279-V-COL4_V1_genomic
Actinomyces_urinae	GCF_900119695.1_PRJEB17950_genomic
Actinomyces_urogenitalis	GCF_000758745.1_04_NF40v01_genomic
Aeromonas_allosaccharophila	GCF_001446895.1_ASM144689v1_genomic
Aeromonas_aquatica	GCF_001895965.1_ASM189596v1_genomic
Aeromonas_australiensis	GCF_000819725.1_PRJEB7021_genomic
Aeromonas_bestiarum	GCF_000819745.1_PRJEB7022_genomic
Aeromonas_bivalvium	GCF_000819765.1_PRJEB7023_genomic
Aeromonas_caviae	GCF_000783715.1_ASM78371v1_genomic
Aeromonas_dhakensis	GCF_002285935.1_ASM228593v1_genomic
Aeromonas_diversa	GCF_000819805.1_PRJEB7026_genomic
Aeromonas_encheleia	GCF_000819825.1_PRJEB7027_genomic
Aeromonas_enteropelogenes	GCF_000687355.2_ASM68735v2_genomic
Aeromonas_eucrenophila	GCF_000819865.1_PRJEB7029_genomic
Aeromonas_finlandiensis	GCF_000764645.1_ASM76464v1_genomic
Aeromonas_fluvialis	GCF_000819885.1_PRJEB7030_genomic
Aeromonas_hydrophila	GCF_000014805.1_ASM1480v1_genomic
Aeromonas_jandaei	GCF_000708125.1_RIV2_genomic
Aeromonas_lacus	GCF_000764665.1_ASM76466v1_genomic
Aeromonas_media	GCF_000287215.2_ASM28721v3_genomic
Aeromonas_molluscorum	GCF_000388115.1_Amol1.0_genomic
Aeromonas_piscicola	GCF_001684435.1_ASM168443v1_genomic
Aeromonas_popoffii	GCF_000820025.1_PRJEB7034_genomic
Aeromonas_rivuli	GCF_000820045.1_PRJEB7035_genomic
Aeromonas_salmonicida	GCF_002313065.1_ASM231306v1_genomic
Aeromonas_sobria	GCF_000820145.1_PRJEB7040_genomic
Aeromonas_taiwanensis	GCF_000699185.1_ASM69918v1_genomic
Aeromonas_tecta	GCF_000820185.1_PRJEB7042_genomic
Aeromonas_veronii	GCF_000204115.1_ASM20411v1_genomic
Aggregatibacter_aphrophilus	GCF_000022985.1_ASM2298v1_genomic
Aggregatibacter_segnis	GCF_000185305.1_ASM18530v1_genomic
Agrobacterium_albertimagni	GCF_000300855.1_ASM30085v1_genomic
Agrobacterium_arsenijevicii	GCF_000949895.1_ASM94989v1_genomic
Agrobacterium_fabrum	GCF_000092025.1_ASM9202v1_genomic
Agrobacterium_genomosp.	GCF_900012615.1_AHY_PRJEB12196_v1_genomic
Agrobacterium_radiobacter	GCF_000016265.1_ASM1626v1_genomic
Agrobacterium_rhizogenes	GCF_002005205.2_ASM200520v2_genomic
Agrobacterium_rubi	GCF_001692345.1_ASM169234v1_genomic
Agrobacterium_salinitolerans	GCF_002008225.1_ASM200822v1_genomic
Agrobacterium_vitis	GCF_000016285.1_ASM1628v1_genomic
Aliivibrio_logei	GCF_000390125.1_Whole_genome_shotgun_assembly_genomic
Aliivibrio_salmonicida	GCF_000196495.1_ASM19649v1_genomic
Aliivibrio_wodanis	GCF_000953695.1_AWOD1_genomic
Alteromonas_addita	GCF_001562195.1_ASM156219v1_genomic
Alteromonas_australica	GCF_000730385.1_ASM73038v1_genomic
Alteromonas_confluentis	GCF_001757105.1_ASM175710v1_genomic
Alteromonas_lipolytica	GCF_001758465.1_ASM175846v1_genomic
Alteromonas_stellipolaris	GCF_001433715.1_ASM143371v1_genomic
Anaplasma_centrale	GCF_000024505.1_ASM2450v1_genomic
Anaplasma_marginale	GCF_000020305.1_ASM2030v1_genomic
Bacillus_abyssalis	GCF_002019595.1_ASM201959v1_genomic
Bacillus_acidiceler	GCF_002128425.1_ASM212842v1_genomic
Bacillus_acidicola	GCF_001636425.1_ASM163642v1_genomic
Bacillus_acidiproducens	GCF_000374345.1_ASM37434v1_genomic
Bacillus_aerophilus	GCF_000831655.1_ASM83165v1_genomic
Bacillus_aidingensis	GCF_000429685.1_ASM42968v1_genomic
Bacillus_akibai	GCF_000513135.1_ASM51313v1_genomic
Bacillus_alcalophilus	GCF_000292245.2_ASM29224v2_genomic
Bacillus_alkalinitrilicus	GCF_002019605.1_ASM201960v1_genomic
Bacillus_alkalitelluris	GCF_002019645.1_ASM201964v1_genomic
Bacillus_alveayuensis	GCF_000948175.1_BFA_2_A_genomic
Bacillus_amyloliquefaciens	GCF_000196735.1_ASM19673v1_genomic
Bacillus_andreraoultii	GCF_001244735.1_Bacillus_andreraoultii_genomic
Bacillus_anthracis	GCF_000007845.1_ASM784v1_genomic
Bacillus_aquimaris	GCF_001648555.1_ASM164855v1_genomic
Bacillus_aryabhattai	GCF_001025015.1_ASM102501v1_genomic
Bacillus_atrophaeus	GCF_002173495.1_ASM217349v1_genomic
Bacillus_aurantiacus	GCF_000429705.1_ASM42970v1_genomic
Bacillus_australimaris	GCF_001307105.1_ASM130710v1_genomic
Bacillus_bombysepticus	GCF_000831065.1_ASM83106v1_genomic
Bacillus_boroniphilus	GCF_000517385.1_ASM51738v1_genomic
Bacillus_butanolivorans	GCF_001273755.1_ASM127375v1_genomic
Bacillus_campisalis	GCF_000986785.1_ASM98678v1_genomic
Bacillus_caseinilyticus	GCF_900107275.1_IMG-taxon_2675903024_annotated_assembly_genomic
Bacillus_cecembensis	GCF_001439635.1_ASM143963v1_genomic
Bacillus_cellulasensis	GCF_001457015.1_ASM145701v1_genomic
Bacillus_cellulosilyticus	GCF_000177235.2_ASM17723v2_genomic
Bacillus_cereus	GCF_000021205.1_ASM2120v1_genomic
Bacillus_chagannorensis	GCF_000429725.1_ASM42972v1_genomic
Bacillus_cihuensis	GCF_000504145.1_SOAPdenovo_for_version2.04_of_Bacillus_sp._FJAT-14515_genome_genomic
Bacillus_circulans	GCF_001591585.1_ASM159158v1_genomic
Bacillus_clausii	GCF_000009825.1_ASM982v1_genomic
Bacillus_coagulans	GCF_000832905.1_ASM83290v1_genomic
Bacillus_coahuilensis	GCF_001516895.1_ASM151689v1_genomic
Bacillus_cohnii	GCF_002250055.1_ASM225005v1_genomic
Bacillus_cytotoxicus	GCF_000017425.1_ASM1742v1_genomic
Bacillus_dakarensis	GCF_900156875.1_PRJEB18969_genomic
Bacillus_daliensis	GCF_900103955.1_IMG-taxon_2617270767_annotated_assembly_genomic
Bacillus_eiseniae	GCF_001636325.1_ASM163632v1_genomic
Bacillus_encimensis	GCF_001630115.1_ASM163011v1_genomic
Bacillus_enclensis	GCF_001456935.1_ASM145693v1_genomic
Bacillus_endophyticus	GCF_000972245.3_ASM97224v3_genomic
Bacillus_farraginis	GCF_001439965.1_ASM143996v1_genomic
Bacillus_fastidiosus	GCF_001591625.1_ASM159162v1_genomic
Bacillus_filamentosus	GCF_900177535.1_IMG-taxon_2708742534_annotated_assembly_genomic
Bacillus_firmus	GCF_000565285.1_pBF_genomic
Bacillus_flexus	GCF_002024265.1_ASM202426v1_genomic
Bacillus_fordii	GCF_000374565.1_ASM37456v1_genomic
Bacillus_fumarioli	GCF_001591485.1_ASM159148v1_genomic
Bacillus_gaemokensis	GCF_001590835.1_ASM159083v1_genomic
Bacillus_galactosidilyticus	GCF_001645705.1_ASM164570v1_genomic
Bacillus_gibsonii	GCF_001719185.1_ASM171918v1_genomic
Bacillus_ginsengihumi	GCF_000526655.1_ASM52665v1_genomic
Bacillus_glycinifermentans	GCF_900093775.1_EVONIK_BGLY_genomic
Bacillus_gobiensis	GCF_001278705.1_ASM127870v1_genomic
Bacillus_gottheilii	GCF_001636345.1_ASM163634v1_genomic
Bacillus_halmapalus	GCF_002019665.1_ASM201966v1_genomic
Bacillus_halodurans	GCF_000011145.1_ASM1114v1_genomic
Bacillus_halosaccharovorans	GCF_002019635.1_ASM201963v1_genomic
Bacillus_halotolerans	GCF_001637525.1_ASM163752v1_genomic
Bacillus_haynesii	GCF_001969855.1_ASM196985v1_genomic
Bacillus_humi	GCF_001439915.1_ASM143991v1_genomic
Bacillus_indicus	GCF_000708755.2_ASM70875v2_genomic
Bacillus_infantis	GCF_000473245.1_ASM47324v1_genomic
Bacillus_intestinalis	GCF_002027305.1_ASM202730v1_genomic
Bacillus_jeddahensis	GCF_000612625.1_JCE_genomic
Bacillus_jeotgali	GCF_900166585.1_PRJEB19410_genomic
Bacillus_kochii	GCF_002276165.1_ASM227616v1_genomic
Bacillus_koreensis	GCF_001274935.1_ASM127493v1_genomic
Bacillus_korlensis	GCF_001591645.1_ASM159164v1_genomic
Bacillus_kribbensis	GCF_000430765.1_ASM43076v1_genomic
Bacillus_krulwichiae	GCF_002109385.1_ASM210938v1_genomic
Bacillus_lehensis	GCF_000706725.1_ASM70672v1_genomic
Bacillus_lentus	GCF_001591545.1_ASM159154v1_genomic
Bacillus_licheniformis	GCF_000011645.1_ASM1164v1_genomic
Bacillus_ligniniphilus	GCF_000334155.1_L1_genomic
Bacillus_litoralis	GCF_001654695.1_ASM165469v1_genomic
Bacillus_loiseleuriae	GCF_001183985.1_ASM118398v1_genomic
Bacillus_lonarensis	GCF_900096965.1_IMG-taxon_2671180223_annotated_assembly_genomic
Bacillus_luciferensis	GCF_001712755.1_ASM171275v1_genomic
Bacillus_manliponensis	GCF_000712595.1_ASM71259v1_genomic
Bacillus_mannanilyticus	GCF_000615945.1_ASM61594v1_genomic
Bacillus_massiliglaciei	GCA_900098925.1_PRJEB15625_genomic
Bacillus_massiliosenegalensis	GCF_000311725.1_ASM31172v1_genomic
Bacillus_mediterraneensis	GCF_900111815.1_PRJEB17078_genomic
Bacillus_megaterium	GCF_000025805.1_ASM2580v1_genomic
Bacillus_mesonae	GCF_001636315.1_ASM163631v1_genomic
Bacillus_methanolicus	GCF_000724485.1_ASM72448v1_genomic
Bacillus_mojavensis	GCF_000245335.1_ASM24533v1_genomic
Bacillus_muralis	GCF_001645685.2_ASM164568v2_genomic
Bacillus_mycoides	GCF_000003925.1_ASM392v1_genomic
Bacillus_nakamurai	GCF_001584345.1_ASM158434v1_genomic
Bacillus_ndiopicus	GCF_000612805.1_FF3_genomic
Bacillus_nealsonii	GCF_000401235.1_BacNeaAAU1_genomic
Bacillus_niacini	GCF_001591505.1_ASM159150v1_genomic
Bacillus_niameyensis	GCF_001375535.1_Bacillus_niameyensis_genomic
Bacillus_novalis	GCF_001636395.1_ASM163639v1_genomic
Bacillus_obstructivus	GCF_001887185.1_ASM188718v1_genomic
Bacillus_oceanisediminis	GCF_000294775.2_ASM29477v2_genomic
Bacillus_okhensis	GCF_000787375.1_ASM78737v1_genomic
Bacillus_okuhidensis	GCF_001274915.1_ASM127491v1_genomic
Bacillus_oleronius	GCF_002009555.1_ASM200955v1_genomic
Bacillus_panaciterrae	GCF_000430785.1_ASM43078v1_genomic
Bacillus_paralicheniformis	GCF_000408885.1_ASM40888v1_genomic
Bacillus_patagoniensis	GCF_002019705.1_ASM201970v1_genomic
Bacillus_persicus	GCF_900109925.1_IMG-taxon_2651870116_annotated_assembly_genomic
Bacillus_plakortidis	GCF_001420645.1_ASM142064v1_genomic
Bacillus_praedii	GCF_001439605.1_ASM143960v1_genomic
Bacillus_pseudalcaliphilus	GCF_001038565.1_ASM103856v1_genomic
Bacillus_pseudofirmus	GCF_000005825.2_ASM582v2_genomic
Bacillus_pseudomycoides	GCF_000161455.1_ASM16145v1_genomic
Bacillus_psychrosaccharolyticus	GCF_000305495.1_BacPsy2.0_genomic
Bacillus_pumilus	GCF_000017885.4_ASM1788v4_genomic
Bacillus_rhizosphaerae	GCF_900142675.1_IMG-taxon_2654588196_annotated_assembly_genomic
Bacillus_rubiinfantis	GCF_000752035.1_Bacillus_rubiinfantis_genomic
Bacillus_safensis	GCF_001938685.1_ASM193868v1_genomic
Bacillus_salsus	GCF_900104555.1_IMG-taxon_2651870172_annotated_assembly_genomic
Bacillus_selenatarsenatis	GCF_000813125.1_ASM81312v1_genomic
Bacillus_shacheensis	GCF_001484965.1_ASM148496v1_genomic
Bacillus_shackletonii	GCF_001420715.1_ASM142071v1_genomic
Bacillus_siamensis	GCF_001662915.1_ASM166291v1_genomic
Bacillus_simplex	GCF_002243645.1_ASM224364v1_genomic
Bacillus_sinesaloumensis	GCF_900156865.1_PRJEB18960_genomic
Bacillus_smithii	GCF_001050115.1_ASM105011v1_genomic
Bacillus_solani	GCF_001420595.1_ASM142059v1_genomic
Bacillus_sonorensis	GCF_002202015.1_ASM220201v1_genomic
Bacillus_sporothermodurans	GCF_001587375.1_ASM158737v1_genomic
Bacillus_stratosphericus	GCF_000353245.1_BStr_LAMA585_V1_genomic
Bacillus_subterraneus	GCF_000934845.1_ASM93484v1_genomic
Bacillus_subtilis	GCF_000009045.1_ASM904v1_genomic
Bacillus_swezeyi	GCF_001969555.1_ASM196955v1_genomic
Bacillus_tequilensis	GCF_001278955.1_ASM127895v1_genomic
Bacillus_testis	GCF_001243895.1_Bacillus_testis_genomic
Bacillus_thermoamylovorans	GCF_000751775.1_A1A_genomic
Bacillus_thermotolerans	GCF_000812025.2_ASM81202v2_genomic
Bacillus_thermozeamaize	GCA_002159075.1_ASM215907v1_genomic
Bacillus_thuringiensis	GCF_002192515.1_ASM219251v1_genomic
Bacillus_timonensis	GCF_000285535.1_ASM28553v1_genomic
Bacillus_toyonensis	GCF_000496285.1_ASM49628v1_genomic
Bacillus_trypoxylicola	GCF_001590785.1_ASM159078v1_genomic
Bacillus_tuaregi	GCF_900104575.1_PRJEB16343_genomic
Bacillus_vallismortis	GCF_002113805.1_ASM211380v1_genomic
Bacillus_velezensis	GCF_000015785.1_ASM1578v1_genomic
Bacillus_vietnamensis	GCF_000723905.1_PRJEB5512_assembly_1_genomic
Bacillus_vireti	GCF_001026695.1_ASM102669v1_genomic
Bacillus_wakoensis	GCF_000513095.1_ASM51309v1_genomic
Bacillus_weihaiensis	GCF_001889165.1_ASM188916v1_genomic
Bacillus_xerothermodurans	GCF_002220865.1_ASM222086v1_genomic
Bacillus_xiamenensis	GCF_001857925.1_ASM185792v1_genomic
Bacillus_zhangzhouensis	GCF_000715205.1_SOAPdenovo_v1.05_genomic
Bacteroides_acidifaciens	GCF_000613385.1_ASM61338v1_genomic
Bacteroides_barnesiae	GCF_000374585.1_ASM37458v1_genomic
Bacteroides_caccae	GCF_002222615.2_ASM222261v2_genomic
Bacteroides_caecimuris	GCF_001688725.2_ASM168872v2_genomic
Bacteroides_cellulosilyticus	GCF_001318345.1_ASM131834v1_genomic
Bacteroides_clarus	GCF_900129655.1_IMG-taxon_2695420967_annotated_assembly_genomic
Bacteroides_congonensis	GCF_900130125.1_PRJEB18268_genomic
Bacteroides_coprocola	GCF_000154845.1_ASM15484v1_genomic
Bacteroides_coprophilus	GCF_000157915.1_ASM15791v1_genomic
Bacteroides_coprosuis	GCF_000212915.1_ASM21291v1_genomic
Bacteroides_dorei	GCF_001640865.1_ASM164086v1_genomic
Bacteroides_eggerthii	GCF_000155815.1_ASM15581v1_genomic
Bacteroides_faecichinchillae	GCF_900129065.1_IMG-taxon_2695420934_annotated_assembly_genomic
Bacteroides_faecis	GCF_000226135.1_ASM22613v2_genomic
Bacteroides_finegoldii	GCF_000304195.1_Bact_thet_CL09T03C10_V1_genomic
Bacteroides_fluxus	GCF_000195635.1_ASM19563v1_genomic
Bacteroides_fragilis	GCF_000210835.1_ASM21083v1_genomic
Bacteroides_gallinarum	GCF_000374365.1_ASM37436v1_genomic
Bacteroides_graminisolvens	GCF_000428125.1_ASM42812v1_genomic
Bacteroides_luti	GCF_900128905.1_IMG-taxon_2695420932_annotated_assembly_genomic
Bacteroides_massiliensis	GCF_000382445.1_Bact_mass_DSM_17679_V1_genomic
Bacteroides_mediterraneensis	GCF_900128455.1_PRJEB18046_genomic
Bacteroides_neonati	GCF_000499785.1_BNeo1_genomic
Bacteroides_nordii	GCF_000273175.1_Bact_nord_CL02T12C05_V1_genomic
Bacteroides_oleiciplenus	GCF_000315485.1_Bact_olei_YIT_12058_V1_genomic
Bacteroides_ovatus	GCF_001314995.1_ASM131499v1_genomic
Bacteroides_paurosaccharolyticus	GCF_000613805.1_ASM61380v1_genomic
Bacteroides_pectinophilus	GCF_000434155.1_MGS437_genomic
Bacteroides_plebeius	GCF_000187895.1_ASM18789v1_genomic
Bacteroides_propionicifaciens	GCF_000375405.1_ASM37540v1_genomic
Bacteroides_pyogenes	GCF_000428105.1_ASM42810v1_genomic
Bacteroides_reticulotermitis	GCF_000517545.1_ASM51754v1_genomic
Bacteroides_rodentium	GCF_000614125.1_ASM61412v1_genomic
Bacteroides_salanitronis	GCF_000190575.1_ASM19057v1_genomic
Bacteroides_salyersiae	GCF_000381365.1_Bact_saly_DSM_18765_V1_genomic
Bacteroides_sartorii	GCF_000403195.1_Bact_mass_dnLKV3_V1_genomic
Bacteroides_stercorirosoris	GCF_900142015.1_IMG-taxon_2700988705_annotated_assembly_genomic
Bacteroides_stercoris	GCF_000413395.1_Bact_ster_CC31F_V1_genomic
Bacteroides_thetaiotaomicron	GCF_001314975.1_ASM131497v1_genomic
Bacteroides_timonensis	GCF_000513195.1_AP1_genomic
Bacteroides_uniformis	GCF_000273785.1_Bact_unif_CL03T00C23_V1_genomic
Bartonella_apis	GCF_002007565.1_ASM200756v1_genomic
Bartonella_australis	GCF_000341355.1_ASM34135v1_genomic
Bartonella_bacilliformis	GCF_000015445.1_ASM1544v1_genomic
Bartonella_birtlesii	GCF_000273375.1_ASM27337v1_genomic
Bartonella_bovis	GCF_000384965.1_BBbMcIrM01_genomic
Bartonella_clarridgeiae	GCF_000253015.1_ASM25301v1_genomic
Bartonella_doshiae	GCF_000278155.1_Bart_dosh_NCTC_12862_R18_V1_genomic
Bartonella_elizabethae	GCF_000278315.1_Bart_eliz_F9251_V1_genomic
Bartonella_florencae	GCF_000312525.1_ASM31252v1_genomic
Bartonella_grahamii	GCF_000022725.1_ASM2272v1_genomic
Bartonella_koehlerae	GCF_000706625.1_Bart_koeh_C29_V1_genomic
Bartonella_melophagi	GCF_000278255.1_Bart_melo_K-2C_V1_genomic
Bartonella_queenslandensis	GCF_000312585.1_ASM31258v1_genomic
Bartonella_quintana	GCF_000046685.1_ASM4668v1_genomic
Bartonella_rattaustraliani	GCF_000312565.1_ASM31256v2_genomic
Bartonella_rattimassiliensis	GCF_000278215.1_Bart_ratt_15908_V1_genomic
Bartonella_rochalimae	GCF_000706645.1_Bart_roch_BMGH_V1_genomic
Bartonella_schoenbuchensis	GCF_002022685.1_ASM202268v1_genomic
Bartonella_senegalensis	GCF_000312545.1_ASM31254v1_genomic
Bartonella_tamiae	GCF_000279995.1_Bart_tami_Th307_V1_genomic
Bartonella_taylorii	GCF_000278295.1_Bart_tayl_8TBB_V1_genomic
Bartonella_tribocorum	GCF_000196435.1_ASM19643v1_genomic
Bartonella_vinsonii	GCF_000341385.1_ASM34138v1_genomic
Bartonella_washoensis	GCF_000278135.1_Bart_wash_Sb944nv_V1_genomic
Bifidobacterium_actinocoloniiforme	GCF_001263395.1_ASM126339v1_genomic
Bifidobacterium_adolescentis	GCF_000010425.1_ASM1042v1_genomic
Bifidobacterium_aesculapii	GCF_001417815.1_ASM141781v1_genomic
Bifidobacterium_angulatum	GCF_001025155.1_ASM102515v1_genomic
Bifidobacterium_animalis	GCF_000022965.1_ASM2296v1_genomic
Bifidobacterium_aquikefiri	GCF_002259795.1_ASM225979v1_genomic
Bifidobacterium_asteroides	GCF_000304215.1_ASM30421v1_genomic
Bifidobacterium_biavatii	GCF_000741165.1_Bifbia_genomic
Bifidobacterium_bifidum	GCF_000165905.1_ASM16590v1_genomic
Bifidobacterium_bohemicum	GCF_000741525.1_Bifboh_genomic
Bifidobacterium_bombi	GCF_000737845.1_BBOMBassembly_genomic
Bifidobacterium_boum	GCF_000741535.1_Bifbou_genomic
Bifidobacterium_breve	GCF_001025175.1_ASM102517v1_genomic
Bifidobacterium_callitrichos	GCF_000741175.1_Bifcal_genomic
Bifidobacterium_catenulatum	GCF_001025195.1_ASM102519v1_genomic
Bifidobacterium_choerinum	GCF_000741135.1_Bifcho_genomic
Bifidobacterium_commune	GCF_900094885.1_IMG-taxon_2616644832_annotated_assembly_genomic
Bifidobacterium_coryneforme	GCF_000737865.1_ASM73786v1_genomic
Bifidobacterium_crudilactis	GCF_000738005.1_ASM73800v1_genomic
Bifidobacterium_cuniculi	GCF_000741575.1_Bifcun_genomic
Bifidobacterium_dentium	GCF_001042595.1_ASM104259v1_genomic
Bifidobacterium_eulemuris	GCF_002259685.1_ASM225968v1_genomic
Bifidobacterium_gallicum	GCF_000741205.1_Bifgalcum_genomic
Bifidobacterium_gallinarum	GCF_000741215.1_Bifgalrum_genomic
Bifidobacterium_hapali	GCF_002259755.1_ASM225975v1_genomic
Bifidobacterium_indicum	GCF_000706765.1_ASM70676v1_genomic
Bifidobacterium_kashiwanohense	GCF_000800455.1_ASM80045v1_genomic
Bifidobacterium_lemurum	GCF_002259665.1_ASM225966v1_genomic
Bifidobacterium_longum	GCF_000020425.1_ASM2042v1_genomic
Bifidobacterium_magnum	GCF_000741255.1_Bifmag_genomic
Bifidobacterium_merycicum	GCF_900129045.1_IMG-taxon_2563366502_annotated_assembly_genomic
Bifidobacterium_minimum	GCF_000741645.1_Bifmin_genomic
Bifidobacterium_mongoliense	GCF_000741285.1_Bifmon_genomic
Bifidobacterium_moukalabense	GCF_000522505.1_DSM27321_genomic
